id,type,description,status,created_at,updated_at
1,Course,Humanities,1,25/06/2019 0:00,25/06/2019 0:00
2,Course,Social Sciences,1,25/06/2019 0:00,25/06/2019 0:00
3,Course,Natural Sciences,1,25/06/2019 0:00,25/06/2019 0:00
4,Course,Formal Sciences,1,25/06/2019 0:00,25/06/2019 0:00
5,Course,Agriculture,1,25/06/2019 0:00,25/06/2019 0:00
6,Course,Architecture and Design,1,25/06/2019 0:00,25/06/2019 0:00
7,Course,Business,1,25/06/2019 0:00,25/06/2019 0:00
8,Course,Health Sciences,1,25/06/2019 0:00,25/06/2019 0:00
9,Course,Education,1,25/06/2019 0:00,25/06/2019 0:00
10,Course,Engineering,1,25/06/2019 0:00,25/06/2019 0:00
11,Course,Media and Communication,1,25/06/2019 0:00,25/06/2019 0:00
12,Course,Public Administration,1,25/06/2019 0:00,25/06/2019 0:00
13,Course,Transportation,1,25/06/2019 0:00,25/06/2019 0:00
14,Course,Family and Consumer Science,1,25/06/2019 0:00,25/06/2019 0:00
15,Course,Criminal Justice,1,25/06/2019 0:00,25/06/2019 0:00
